Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P02769	CON__P02769	17	17	14		1	17	17	14	23.6	23.6	21.1	69.293	607	607	0	146.31	56776	133670	76.334	87.203	64068	125460	115.08	126.73	51203	134820	67308	90825	59583	92998	69503	52476	51781	122270	2010.8	6154.2	59128	115760	1759.9	5441.9	49888	127680	67965	94676	61286	93282	66236	51053	27	27	2	3	27	27	1	1	27	27	27	27	26	27	27	27	6499500000	61			+	10	244;918;1726;2549;4807;6179;7815;8706;9376;11053;11421;12315;13410;14139;14156;16778;17678	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	257;960;1815;2672;2673;5011;6449;8170;9113;9804;11549;12016;12982;14142;14897;14917;17677;18611	432;1594;1595;3044;3045;3046;3047;3048;4448;4449;4450;4451;8007;8008;10573;10574;10575;10576;10577;10578;10579;10580;13345;14694;14695;14696;15822;15823;15824;18448;19194;19195;20714;20715;22508;22509;22510;22511;22512;22513;22514;23623;23624;23625;23668;23669;28215;29660	471;1767;1768;1769;1770;3414;3415;3416;3417;3418;3419;3420;3421;3422;5059;5060;5061;5062;5063;5064;5065;9057;9058;9059;9060;12057;12058;12059;12060;12061;12062;12063;12064;12065;15364;15365;17117;17118;17119;17120;17121;17122;18375;18376;18377;21395;22319;22320;24126;24127;24128;26158;26159;26160;26161;26162;26163;26164;26165;27431;27432;27433;27434;27435;27480;27481;32923;34584	471;1767;3418;5063;9057;12059;15364;17120;18375;21395;22319;24127;26159;27431;27481;32923;34584		
CON__P04264	CON__P04264	15	15	3		1	15	15	3	28	28	6.2	66.017	644	644	0	269.44	39201	49229	112.03	236.54	44912	94832	0	0	54586	135740	34682	160340	61504	88675	76576	59289	35752	45030	1506.9	3907.1	41446	87441	890.53	6332.7	51844	130270	37818	159920	62472	91809	72896	57392	11	11	1	2	11	11	0	0	11	11	11	11	11	11	11	11	1894200000	29			+	11	298;3725;4416;6439;8895;9075;10226;11992;12862;13687;13798;13959;13982;14208;15036	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	312;3898;4609;6722;9307;9497;10696;12645;13559;14432;14548;14714;14737;14972;15849	523;6329;7408;7409;11110;11111;14999;15000;15333;17190;20189;21629;21630;22913;23076;23341;23342;23343;23344;23390;23734;25139;25140;25141;25142;25143	574;7143;8372;8373;8374;12683;12684;17468;17469;17831;19987;23510;25165;25166;26612;26613;26786;27094;27095;27096;27097;27153;27549;29137;29138;29139;29140;29141;29142	574;7143;8374;12683;17469;17831;19987;23510;25165;26612;26786;27094;27153;27549;29141		
CON__P05787;CON__H-INV:HIT000292931;CON__P08729;CON__Q9H552;CON__REFSEQ:XP_092267;CON__Q922U2;CON__Q9DCV7;tr|A0A0D9R0H0|A0A0D9R0H0_CHLSB;CON__Q3KNV1;CON__P50446;CON__O95678;CON__Q8BGZ7;tr|A0A0D9R0A1|A0A0D9R0A1_CHLSB;CON__Q01546;CON__Q5XKE5;CON__Q8VED5;CON__Q6ISB0;CON__Q9NSB2;CON__P12035;tr|A0A0D9QZW8|A0A0D9QZW8_CHLSB;tr|A0A0D9QZW2|A0A0D9QZW2_CHLSB;CON__P07744;tr|A0A0D9R041|A0A0D9R041_CHLSB;CON__Q14CN4-1;CON__Q0VBK2;tr|A0A0D9QZZ8|A0A0D9QZZ8_CHLSB;tr|A0A0D9R030|A0A0D9R030_CHLSB;CON__Q7Z794;CON__Q6IME9;CON__Q3SY84;CON__Q9R0H5;CON__Q6NXH9;tr|A0A0D9R049|A0A0D9R049_CHLSB;CON__Q7RTS7	CON__P05787	21;9;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1	20;9;3;3;3;3;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1	17;8;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0		34	21	20	17	45.8	43.9	39.5	53.704	483	483;443;469;499;213;580;457;469;469;553;551;551;551;638;535;531;600;600;629;643;528;525;529;511;452;579;511;578;520;523;524;539;525;529	0	238.49	114950	106770	195.08	573.66	110220	183660	190.27	258.44	107580	134240	103670	204080	156370	218340	146420	140390	104840	97663	6075.8	6845.6	101730	169370	4154.5	10051	103500	130600	108810	205720	157160	219400	140050	136020	21	21	2	4	21	21	1	3	21	21	21	21	21	21	21	21	3147500000	32			+	12	299;759;1359;1767;1952;2595;3551;4111;5021;7209;8191;9148;10447;10661;11026;11369;14300;14752;15167;15272;17353	True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True	313;797;1431;1857;2049;2719;3710;4294;5236;7540;8562;9571;10922;11142;11521;11951;15075;15076;15545;15983;15984;16094;18275	524;525;1368;2383;2384;3130;3441;4509;6037;6909;8344;12353;13956;13957;13958;13959;13960;13961;13962;13963;13964;15444;15445;15446;15447;17519;17844;18412;18413;19091;23914;23915;24615;25348;25349;25518;29147	575;576;1521;2669;2670;3530;3878;5125;6816;7775;9422;9423;9424;9425;14105;16183;16184;16185;16186;16187;16188;16189;16190;16191;16192;16193;17948;17949;17950;17951;20373;20727;21355;21356;22199;27747;27748;28505;28506;29395;29396;29622;34012	575;1521;2670;3530;3878;5125;6816;7775;9423;14105;16188;17948;20373;20727;21355;22199;27748;28506;29396;29622;34012	0;1;2;3;4	118;136;139;310;367
CON__P12763	CON__P12763	8	8	8		1	8	8	8	40.1	40.1	40.1	38.418	359	359	0	181.82	98251	189390	73.545	290.78	102850	182740	194.49	303.67	87580	188960	115030	181470	112330	152110	109350	101650	89614	173230	4448.1	10854	94988	168650	3675.3	9770.8	85320	180430	116490	184460	114330	154380	104530	98369	27	28	1	3	28	28	3	2	27	28	28	28	28	28	28	27	3081100000	42			+	13	3665;5815;6011;6223;6228;12681;15399;17086	True;True;True;True;True;True;True;True	3836;6070;6272;6496;6501;13369;16230;17996	6245;9782;9783;9784;10146;10147;10148;10711;10712;10713;10714;10715;10716;10728;10729;10730;10731;10732;21351;25766;25767;25768;25769;25770;25771;28735;28736	7049;11062;11063;11064;11065;11503;11504;11505;11506;11507;12222;12223;12224;12225;12226;12227;12228;12229;12230;12231;12243;12244;12245;12246;12247;12248;12249;24852;29937;29938;29939;29940;29941;29942;29943;29944;33523;33524;33525;33526;33527;33528	7049;11063;11503;12228;12243;24852;29937;33526		
tr|A0A0D9S2X0|A0A0D9S2X0_CHLSB;CON__P13645;CON__P02535-1;CON__P08730-1;CON__Q2M2I5;CON__Q7Z3Y7;tr|A0A0D9S2E8|A0A0D9S2E8_CHLSB;CON__Q3ZAW8;CON__P08779;CON__P02533;CON__Q9Z2K1;CON__ENSEMBL:ENSP00000377550;CON__Q148H6;tr|A0A0D9S2X2|A0A0D9S2X2_CHLSB;tr|A0A0D9S2F0|A0A0D9S2F0_CHLSB;tr|A0A0D9S2G3|A0A0D9S2G3_CHLSB;CON__A2A4G1;tr|A0A0D9S2Y3|A0A0D9S2Y3_CHLSB;tr|A0A0D9S2Y9|A0A0D9S2Y9_CHLSB;CON__Q7Z3Y8;CON__P13646-1;CON__Q7Z3Z0;tr|A0A0D9S2X8|A0A0D9S2X8_CHLSB;CON__Q7Z3Y9	tr|A0A0D9S2X0|A0A0D9S2X0_CHLSB;CON__P13645	13;13;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1	12;12;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	12;12;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	tr|A0A0D9S2X0|A0A0D9S2X0_CHLSB Keratin 10 OS=Chlorocebus sabaeus OX=60711 GN=KRT10 PE=3 SV=1;	24	13	12	12	25.3	24.2	24.2	62.653	616	616;593;570;437;525;486;476;474;473;472;469;420;464;464;462;456;456;468;460;459;458;450;449;468	0	215.91	6864.5	7124	0	0	6838.1	13785	0	36.587	8581	13146	5674.5	18683	8147.1	12932	10983	8542.6	6260.9	6517.6	603.82	716.24	6311.7	12732	452.23	1125.3	8150	12743	6023.5	18612	8335.5	13226	10444	8253.9	1	1	0	0	1	3	0	1	3	3	1	3	2	3	3	2	1512100000	23			+	14	5786;7208;8798;9190;9829;12092;12280;13208;13222;14181;14466;17013;17475	True;True;False;True;True;True;True;True;True;True;True;True;True	6041;7539;9208;9615;10275;12749;12945;12946;12947;13927;13942;14943;15250;17920;18403	9732;9733;9734;9735;12351;12352;14828;15512;16585;20362;20363;20364;20365;20656;20657;20658;20659;22161;22177;23695;24168;28601;28602;29343	11011;11012;11013;11014;14103;14104;17282;18024;19304;23712;23713;23714;23715;24060;24061;24062;24063;25753;25769;27508;28023;33379;33380;34224	11012;14103;17282;18024;19304;23713;24063;25753;25769;27508;28023;33379;34224	5;6;7	182;338;353
CON__P13647;tr|A0A0D9R055|A0A0D9R055_CHLSB;CON__Q5XQN5	CON__P13647;tr|A0A0D9R055|A0A0D9R055_CHLSB;CON__Q5XQN5	6;6;4	3;3;1	3;3;1	;tr|A0A0D9R055|A0A0D9R055_CHLSB Keratin 5 OS=Chlorocebus sabaeus OX=60711 GN=KRT5 PE=3 SV=1;	3	6	3	3	9.3	5.8	5.8	62.378	590	590;593;601	0	19.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185680000	3			+	15	759;1290;4111;7175;13766;15272	False;True;False;True;True;False	797;1360;4294;7504;14513;16094	1368;2276;6909;12297;23022;25518	1521;2554;7775;14038;26728;29622	1521;2554;7775;14038;26728;29622	0	446
CON__P13717	CON__P13717	5	5	5		1	5	5	5	31.6	31.6	31.6	28.944	266	266	0	139.32	35962	42762	0	272.77	24642	66730	59.823	0	15022	58350	43582	73396	58421	86108	51492	46237	32792	39118	1492	3071.2	22711	61584	409.52	3161.3	15512	56333	44027	74673	58709	85872	49312	45059	9	9	0	2	9	9	1	0	8	9	9	9	9	9	9	9	2151600000	17			+	16	258;5218;12294;13632;14868	True;True;True;True;True	271;5442;12961;14375;15671	460;461;462;463;464;465;466;8724;8725;8726;20684;20685;22836;24848;24849	509;510;511;512;513;514;515;9849;9850;9851;24091;24092;24093;24094;26530;28786;28787	510;9851;24092;26530;28787		
CON__P15497	CON__P15497	12	12	12		1	12	12	12	47.2	47.2	47.2	30.276	265	265	0	93.572	73490	99293	0	633.34	65502	122960	219.88	131.44	66440	104730	67588	136560	101830	125200	78492	87633	67018	90819	3732.9	6248.5	60419	113410	4440.6	7578.1	64042	101140	70630	137570	101600	126800	75386	84703	14	14	0	3	14	14	3	2	14	14	14	14	14	14	14	14	1187000000	17			+	17	589;757;885;1860;3737;9876;12934;12937;13155;16306;16816;17278	True;True;True;True;True;True;True;True;True;True;True;True	618;795;927;1956;3910;10325;13632;13635;13873;17172;17716;18195	1055;1365;1366;1542;1543;3275;6349;6350;16662;21725;21729;22085;27414;27415;28284;29041	1168;1518;1519;1714;1715;3686;7166;7167;19388;25270;25274;25275;25673;31930;31931;32998;33900	1168;1518;1714;3686;7166;19388;25270;25274;25673;31930;32998;33900		
CON__P17697	CON__P17697	1	1	1		1	1	1	1	3.6	3.6	3.6	51.113	439	439	0.00060168	6.5951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9397100	1			+	18	13472	True	14207	22598	26258	26258		
CON__P28800	CON__P28800	1	1	1		1	1	1	1	2	2	2	54.71	492	492	0.00030193	6.6229	2987.7	4546.1	56.85	0	3408.5	5059.1	10.857	0	2534.6	4389	3018.2	5178.9	4104.2	5461.7	3742	2986.1	2725.8	4156.8	351.7	183.64	3155	4657.4	302.06	0	2462.8	4229.9	3119.4	5259	4129.5	5466.8	3581.2	2908.2	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	23100000	1			+	19	14006	True	14762	23441	27218	27218		
CON__P34955	CON__P34955	4	4	4		1	4	4	4	10.8	10.8	10.8	46.103	416	416	0	55.67	24373	40751	0	0	25815	53049	199.24	277.24	20430	53790	22350	53399	26256	45509	31699	26549	22231	37272	335.94	1860.7	23853	48907	914.21	3187.7	19758	51398	23045	54212	26856	45977	30191	25803	6	6	0	0	6	6	1	1	6	6	6	6	6	6	6	6	1398500000	11			+	20	11982;12192;14355;14683	True;True;True;True	12633;12853;15133;15473	20171;20172;20173;20516;20517;23996;23997;23998;24483;24484	23492;23493;23494;23892;23893;23894;27836;27837;27838;28358;28359	23493;23892;27836;28359		
CON__P35527;tr|A0A0D9S2F4|A0A0D9S2F4_CHLSB	CON__P35527;tr|A0A0D9S2F4|A0A0D9S2F4_CHLSB	6;4	6;4	6;4	;tr|A0A0D9S2F4|A0A0D9S2F4_CHLSB Keratin 9 OS=Chlorocebus sabaeus OX=60711 GN=KRT9 PE=3 SV=1	2	6	6	6	15.1	15.1	15.1	62.129	623	623;633	0	70.289	1181.9	1117.5	0	0	1007.8	3053.1	178.49	0	1632.7	2338.6	987.16	4025.7	2103.3	2928.4	1148.2	912.47	1078	1022.5	0	0	937.11	2816.5	274.74	174.86	1560	2283	1085.4	3990	2065.3	2940.5	1113.1	912.21	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	257100000	8			+	21	4698;5149;5189;6727;11490;14611	True;True;True;True;True;True	4897;5369;5411;7023;12105;15397	7832;8587;8588;8589;8663;11588;19347;24379	8853;9699;9700;9701;9782;13225;22512;28245	8853;9699;9782;13225;22512;28245	8	245
CON__P35908v2;CON__P35908;tr|A0A0D9R016|A0A0D9R016_CHLSB;tr|A0A0D9R058|A0A0D9R058_CHLSB;CON__P48668;CON__P04259;CON__P02538;tr|A0A0D9R070|A0A0D9R070_CHLSB;tr|A0A0D9QZY9|A0A0D9QZY9_CHLSB;CON__Q3TTY5	CON__P35908v2;CON__P35908;tr|A0A0D9R016|A0A0D9R016_CHLSB	12;11;7;3;3;3;3;3;3;3	9;8;4;1;1;1;1;1;1;1	8;7;3;0;0;0;0;0;0;1	;;tr|A0A0D9R016|A0A0D9R016_CHLSB Keratin 2 OS=Chlorocebus sabaeus OX=60711 GN=KRT2 PE=3 SV=1	10	12	9	8	26.8	23.3	21.9	65.432	639	639;645;641;564;564;564;564;568;644;707	0	123.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431620000	11			+	22	1291;4111;5106;5140;6093;6439;12272;13958;15272;16636;17458;17624	True;False;True;True;True;False;True;True;False;True;True;True	1361;4294;5324;5360;6359;6722;12937;14713;16094;17515;18384;18557	2277;6909;8486;8567;8568;8569;10340;11110;11111;20645;23340;25518;27922;29312;29582	2555;7775;9576;9678;9679;9680;11740;12683;12684;24049;27093;29622;32545;34191;34495	2555;7775;9576;9680;11740;12683;24049;27093;29622;32545;34191;34495		
CON__P62894	CON__P62894	1	1	1		1	1	1	1	10.5	10.5	10.5	11.703	105	105	0.0003251	7.4175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256600000	5			+	23	15009	True	15819	25093;25094;25095;25096	29088;29089;29090;29091;29092	29089		
CON__Q03247	CON__Q03247	3	1	1		1	3	1	1	13.3	4.7	4.7	35.979	316	316	0.00034341	9.6214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27765000	2			+	24	200;13727;14726	True;False;False	212;14473;15518	333;334;22971;24554	362;363;26672;28437	363;26672;28437		
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2	3;3	3;3	3;3	;	2	3	3	3	5	5	5	75.829	685	685;704	0	18.285	4263.1	8091.9	0	11.324	4325.8	7308.1	0	74.291	3140	7694.2	4139.3	5075.4	3162.9	5922.9	4434.3	4604.1	3888.7	7403.5	0	373.72	3999	6766.8	160.05	752.33	3062.1	7298	4161.1	5329.2	3307.1	5975.5	4215	4437.8	2	2	0	1	2	2	0	2	2	2	2	2	2	2	2	2	327340000	3			+	25	7632;11111;17868	True;True;True	7975;11608;18812	13075;18526;29941	15012;21475;34900	15012;21475;34900		
CON__Q28107	CON__Q28107	1	1	1		1	1	1	1	0.4	0.4	0.4	248.98	2211	2211	0.0006006	6.574	2649.6	2366.1	0	0	1671.4	2035	0	0	1311.5	2619.2	2239.4	3478.5	3211.9	2373.5	2158	2179.4	2415.9	2164.7	141.51	218.09	1539.1	1883.7	0	0	1299.1	2530.2	2290.6	3473.9	3193.6	2457.4	2079.7	2093	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	107670000	1			+	26	9681	True	10119	16370	19023	19023		
CON__Q2KIF2	CON__Q2KIF2	1	1	1		1	1	1	1	2.9	2.9	2.9	38.348	346	346	0.0050661	6.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2648400	1			+	27	8964	True	9380	15131	17609	17609		
CON__Q2UVX4	CON__Q2UVX4	6	6	6		1	6	6	6	5.8	5.8	5.8	187.37	1662	1662	0	44.258	4530.6	5413.1	88.423	0	5171	9364.3	0	0	4201.9	7577.1	5024	8257.1	8247.1	10038	7032.8	6901.8	4133.4	4950.5	417.42	215.41	4782.5	8628.7	192.99	516.13	4074.9	7275.5	5253.5	8463.7	8244	10071	6739.4	6673.8	2	2	1	0	2	2	0	0	2	2	2	2	2	2	2	2	60466000	6			+	28	3677;6197;7920;13625;15325;15995	True;True;True;True;True;True	3849;6469;8280;14368;16152;16845	6258;10638;13508;22829;25623;26826	7062;12142;15585;26523;29773;31249	7062;12142;15585;26523;29773;31249		
